cv_id,job_family,coverage_obligatorias,coverage_deseables,experiencia_ratio,educacion_match,similitud_semantica,label,anios_experiencia,nivel_educativo,universidad_tier,brecha_laboral_meses,n_skills_detectadas,n_palabras_cv
1,desarrollador_backend,0.5,0.25,0.0,0.0,0.641083300113678,0,0.0,ninguno,desconocida,0,6,33
2,desarrollador_backend,0.0,0.0,0.5,1.0,0.38222724199295044,0,1.0,posgrado,top,0,3,27
3,desarrollador_backend,0.5,0.0,0.0,0.0,0.6548707485198975,0,0.0,ninguno,desconocida,0,6,28
4,desarrollador_backend,1.0,0.5,0.0,1.0,0.5878391861915588,1,0.0,posgrado,top,0,10,46
5,desarrollador_backend,1.0,1.0,1.0,0.5,0.4614870846271515,1,2.0,tecnico,top,0,9,42
6,desarrollador_backend,0.5,0.5,1.5,1.0,0.5551158785820007,0,3.0,pregrado,top,0,7,35
7,desarrollador_backend,1.0,0.5,1.5,0.5,0.6464090347290039,1,3.0,tecnico,top,0,10,50
8,desarrollador_backend,1.0,0.75,0.5,1.0,0.5203123092651367,1,1.0,posgrado,top,0,10,39
9,desarrollador_backend,0.5,0.0,0.0,0.5,0.4814375936985016,0,0.0,tecnico,top,0,3,45
10,desarrollador_backend,0.0,0.0,0.5,1.0,0.4718267023563385,0,1.0,posgrado,top,0,2,32
11,desarrollador_backend,0.5,0.0,0.5,1.0,0.5110900402069092,0,1.0,pregrado,top,0,5,44
12,desarrollador_backend,1.0,1.0,0.5,1.0,0.6659918427467346,1,1.0,pregrado,top,24,11,53
13,desarrollador_backend,0.5,0.5,0.5,1.0,0.5964436531066895,1,1.0,pregrado,top,0,7,45
14,desarrollador_backend,1.0,1.0,1.5,1.0,0.5295366644859314,1,3.0,posgrado,top,0,9,50
15,desarrollador_backend,0.0,0.0,1.5,1.0,0.5165576338768005,0,4.0,pregrado,top,12,2,52
16,desarrollador_backend,0.0,0.0,0.5,0.5,0.40191274881362915,0,1.0,tecnico,top,0,3,29
17,desarrollador_backend,0.5,0.5,1.5,0.5,0.5317501425743103,1,4.0,tecnico,top,0,5,39
18,desarrollador_backend,0.5,0.25,1.5,1.0,0.5771361589431763,0,3.0,pregrado,top,0,6,55
19,desarrollador_backend,0.5,0.25,0.0,0.5,0.5857882499694824,0,0.0,tecnico,top,0,7,42
20,desarrollador_backend,1.0,0.5,0.5,0.5,0.5767901539802551,1,1.0,tecnico,top,0,7,40
21,desarrollador_backend,0.5,0.0,0.5,1.0,0.6084569692611694,0,1.0,pregrado,top,0,6,31
22,desarrollador_backend,0.25,0.0,1.0,1.0,0.5223116278648376,0,2.0,posgrado,top,0,4,45
23,desarrollador_backend,0.5,0.0,1.5,1.0,0.48049578070640564,0,3.0,pregrado,top,0,6,45
24,desarrollador_backend,0.5,0.0,1.5,1.0,0.5816071629524231,0,4.0,pregrado,top,0,7,46
25,desarrollador_backend,1.0,0.25,1.0,1.0,0.6129407286643982,1,2.0,pregrado,top,0,9,39
26,desarrollador_backend,1.0,0.25,0.5,0.5,0.6305515766143799,0,1.0,tecnico,top,0,9,47
27,desarrollador_backend,0.5,0.25,0.5,1.0,0.34840863943099976,0,1.0,pregrado,top,0,7,46
28,desarrollador_backend,1.0,0.75,1.0,1.0,0.5459175109863281,1,2.0,pregrado,top,12,11,65
29,desarrollador_backend,0.25,0.0,1.0,0.5,0.45122718811035156,0,2.0,tecnico,top,12,6,58
30,desarrollador_backend,1.0,0.5,1.0,0.5,0.631327748298645,1,2.0,tecnico,top,0,9,46
31,desarrollador_backend,0.0,0.0,0.0,0.5,0.43777668476104736,0,0.0,tecnico,top,0,4,39
32,desarrollador_backend,1.0,1.0,1.5,0.5,0.4487837851047516,1,3.0,tecnico,top,0,12,42
33,desarrollador_backend,1.0,1.0,1.5,1.0,0.5536624193191528,1,3.0,posgrado,top,24,12,52
34,desarrollador_backend,0.5,0.25,1.0,0.5,0.6794685125350952,0,2.0,tecnico,top,12,6,56
35,desarrollador_backend,1.0,0.25,0.0,0.0,0.6463069915771484,0,0.0,ninguno,desconocida,0,7,31
36,desarrollador_backend,1.0,0.25,0.5,1.0,0.621212363243103,1,1.0,pregrado,top,0,9,41
37,desarrollador_backend,0.0,0.0,0.5,1.0,0.4293522834777832,0,1.0,posgrado,top,0,5,42
38,desarrollador_backend,0.25,0.0,1.0,1.0,0.40805894136428833,0,2.0,pregrado,top,0,5,49
39,desarrollador_backend,0.5,0.5,1.5,1.0,0.6798402070999146,1,5.0,pregrado,top,0,5,44
40,desarrollador_backend,1.0,0.5,1.0,1.0,0.6283588409423828,1,2.0,pregrado,top,0,10,46
41,desarrollador_backend,0.0,0.0,0.5,1.0,0.56824791431427,0,1.0,pregrado,top,0,1,37
42,desarrollador_backend,0.5,0.5,0.0,1.0,0.5642741918563843,0,0.0,pregrado,top,0,7,42
43,desarrollador_backend,0.5,0.0,0.5,1.0,0.49883970618247986,0,1.0,posgrado,top,12,6,50
44,desarrollador_backend,0.0,0.0,0.0,0.5,0.32063907384872437,0,0.0,tecnico,top,0,3,38
45,desarrollador_backend,0.5,0.25,1.0,1.0,0.634030282497406,0,2.0,posgrado,top,0,4,41
46,desarrollador_backend,0.5,0.5,1.0,0.5,0.516878068447113,1,2.0,tecnico,top,24,9,67
47,desarrollador_backend,0.0,0.0,1.0,1.0,0.4209296703338623,0,2.0,posgrado,top,0,1,32
48,desarrollador_backend,0.0,0.0,1.5,0.5,0.524732232093811,0,5.0,tecnico,top,0,1,33
49,desarrollador_backend,0.5,0.25,0.5,1.0,0.537256121635437,0,1.0,pregrado,top,0,5,49
50,desarrollador_backend,1.0,0.75,1.0,1.0,0.5975831747055054,1,2.0,pregrado,top,0,12,45
51,desarrollador_backend,0.5,0.25,1.0,1.0,0.5381879210472107,0,2.0,pregrado,top,0,4,35
52,desarrollador_backend,0.0,0.0,1.5,0.5,0.41760388016700745,0,3.0,tecnico,top,12,3,50
53,desarrollador_backend,0.5,0.0,0.5,0.5,0.5602551698684692,0,1.0,tecnico,top,0,5,39
54,desarrollador_backend,1.0,0.5,1.5,1.0,0.5988221168518066,1,3.0,pregrado,top,0,8,44
55,desarrollador_backend,1.0,0.25,0.0,0.5,0.4075041115283966,0,0.0,tecnico,top,0,8,48
56,desarrollador_backend,1.0,1.0,0.5,1.0,0.6576177477836609,1,1.0,posgrado,top,0,10,46
57,desarrollador_backend,1.0,0.5,0.0,0.0,0.504166841506958,0,0.0,ninguno,desconocida,0,10,35
58,desarrollador_backend,0.25,0.0,1.0,1.0,0.5284849405288696,0,2.0,pregrado,top,0,5,42
59,desarrollador_backend,0.25,0.0,0.5,1.0,0.46242472529411316,0,1.0,posgrado,top,0,4,26
60,desarrollador_backend,1.0,0.5,1.0,1.0,0.6518405079841614,1,2.0,posgrado,top,0,10,54
61,desarrollador_backend,0.0,0.0,0.5,1.0,0.30854251980781555,0,1.0,pregrado,top,0,5,40
62,desarrollador_backend,0.5,0.5,0.5,1.0,0.5392615795135498,0,1.0,pregrado,top,24,6,50
63,desarrollador_backend,0.0,0.0,1.0,1.0,0.6236071586608887,0,2.0,pregrado,top,24,4,60
64,desarrollador_backend,0.5,0.0,1.5,1.0,0.5680577158927917,0,4.0,pregrado,top,0,5,44
65,desarrollador_backend,0.5,0.0,0.0,0.5,0.431835412979126,0,0.0,tecnico,top,0,5,42
66,desarrollador_backend,0.25,0.0,0.5,1.0,0.4565568268299103,0,1.0,pregrado,top,0,4,45
