reutiliza_contraseñas,longitud_promedio,usa_gestor,usa_2fa,cambia_password_tras_filtracion,actualizaciones_automaticas,dias_desde_actualizacion,actualiza_apps,usa_wifi_publico_sin_vpn,usa_vpn,hace_clic_enlaces_desconocidos,comparte_red_o_dispositivos,hace_backups_regulares,backups_automaticos_en_nube,bloqueo_automatico,disco_cifrado,acceso_remoto_habilitado,riesgo_categoria
True,8,False,False,True,False,3,False,False,False,False,True,False,True,False,False,False,Medio
False,16,True,False,False,False,20,True,False,True,False,False,True,False,True,False,False,Bajo
False,12,True,True,False,False,250,False,True,False,True,True,False,False,False,False,False,Alto
True,14,False,True,True,True,89,False,False,False,False,False,False,True,True,True,False,Bajo
True,10,False,False,False,True,32,False,False,False,True,False,False,False,False,False,True,Alto
True,9,False,False,True,False,53,False,True,False,True,False,True,True,True,False,False,Medio
False,8,False,True,False,False,104,False,True,False,False,False,False,True,False,False,True,Medio
False,12,False,False,True,False,57,False,False,False,False,True,False,False,False,False,True,Medio
False,9,False,False,False,False,7,False,True,False,True,True,False,True,True,False,False,Alto
True,12,True,True,False,True,40,False,False,True,False,False,False,True,True,False,False,Bajo
False,11,False,False,True,True,38,False,False,False,False,False,False,True,True,False,False,Bajo
False,13,False,True,True,True,22,False,True,True,False,True,False,True,True,False,False,Bajo
True,11,False,False,True,True,8,False,False,True,True,True,True,False,True,True,False,Medio
True,13,False,False,False,False,123,False,True,False,False,False,False,False,False,False,True,Medio
False,16,False,True,False,False,20,True,False,False,False,False,True,False,True,False,False,Bajo
True,6,True,False,False,False,61,False,False,False,False,True,False,True,False,False,False,Medio
False,12,True,True,False,False,87,False,True,False,False,True,False,False,True,True,False,Bajo
False,16,True,False,False,False,12,False,False,True,False,False,True,True,False,True,False,Bajo
False,13,True,False,True,False,49,False,True,False,True,True,True,False,True,False,False,Medio
False,9,True,False,False,False,42,False,True,True,False,False,False,True,False,True,False,Medio
True,6,True,False,False,True,14,True,False,False,False,False,False,True,False,False,False,Medio
True,17,True,True,True,True,22,False,False,False,False,True,False,True,True,False,False,Medio
False,13,False,False,False,False,76,False,False,False,False,False,False,False,True,False,False,Medio
True,12,True,False,True,False,186,True,True,False,True,False,False,False,False,True,False,Medio
False,14,True,False,False,False,31,False,True,False,False,True,False,False,True,True,False,Medio
False,5,True,True,False,False,74,False,False,True,False,False,True,False,False,False,False,Medio
False,13,True,True,False,False,16,True,True,True,False,False,True,False,True,True,False,Bajo
False,4,False,False,False,True,74,False,True,False,False,False,False,False,False,False,True,Medio
False,12,False,True,False,False,184,False,True,False,True,True,False,False,False,False,False,Alto
True,11,False,True,False,False,155,True,False,False,False,True,False,False,True,False,False,Medio
True,11,True,False,False,False,176,True,False,False,True,False,True,True,True,False,False,Medio
True,12,True,True,False,False,67,False,False,False,True,True,True,False,True,False,False,Medio
False,10,False,True,False,True,91,False,False,False,True,False,True,True,True,True,False,Bajo
True,13,True,True,True,True,0,True,False,True,False,False,True,True,False,False,False,Bajo
True,11,True,False,False,True,6,True,False,True,True,True,True,False,True,False,False,Bajo
False,7,False,False,False,False,33,False,True,False,False,True,False,False,True,True,False,Medio
True,10,False,True,True,False,13,False,False,True,True,False,False,True,False,False,False,Medio
False,10,True,True,True,False,2,True,False,True,False,False,True,False,False,True,False,Bajo
False,11,False,True,False,True,5,False,False,True,False,False,False,True,False,False,False,Medio
False,14,True,False,True,False,5,False,False,True,False,False,True,True,True,False,False,Bajo
False,7,False,True,True,False,84,True,True,True,False,False,True,True,True,False,False,Bajo
False,9,False,False,False,True,14,False,True,True,False,False,False,True,False,False,False,Medio
False,14,True,False,True,False,5,True,False,True,False,False,True,False,False,False,False,Medio
False,13,True,True,True,True,26,True,True,False,False,False,True,True,True,True,True,Bajo
True,11,True,False,False,False,65,True,False,False,True,True,False,False,False,False,False,Alto
True,8,False,True,True,False,29,False,True,False,False,False,False,False,False,False,False,Alto
False,18,True,True,True,False,16,False,False,False,False,False,False,True,True,True,False,Bajo
False,12,False,True,False,False,20,False,True,False,True,True,False,False,True,False,False,Medio
False,9,False,True,False,False,146,False,False,False,True,False,False,False,False,False,False,Alto
False,21,False,True,False,True,36,False,False,True,False,False,True,True,True,False,False,Bajo
True,13,False,False,False,False,5,True,False,True,False,False,True,False,True,False,False,Bajo
False,17,True,True,True,True,8,True,False,False,False,False,True,False,False,False,False,Bajo
True,15,True,True,False,True,39,False,True,True,False,False,False,False,True,False,False,Medio
True,7,True,False,True,True,11,True,False,False,False,True,False,False,True,False,False,Bajo
False,7,False,False,False,True,13,False,True,False,False,False,False,False,False,False,False,Medio
True,12,False,True,False,True,23,False,True,True,False,True,False,True,True,True,False,Medio
True,21,True,False,True,False,55,True,True,True,False,True,False,False,False,False,False,Medio
False,13,False,True,True,False,6,True,False,True,False,True,True,False,True,True,False,Bajo
False,19,True,True,True,True,25,True,False,True,False,False,True,True,True,False,False,Bajo
False,11,False,False,True,True,19,False,True,False,False,False,False,True,False,False,False,Medio
False,15,False,False,False,True,79,False,False,True,False,False,True,False,True,False,False,Bajo
True,17,True,False,False,False,15,False,True,False,True,False,False,True,True,True,False,Medio
True,15,False,False,True,True,0,True,False,False,True,False,True,False,True,False,False,Medio
False,15,True,True,False,True,2,True,False,True,False,False,False,False,False,False,False,Medio
False,4,False,True,True,True,13,True,False,False,False,False,True,True,True,False,False,Bajo
True,10,True,False,False,False,49,True,False,False,False,False,True,True,True,False,False,Bajo
False,9,False,True,False,True,201,True,True,False,False,False,False,False,False,False,False,Medio
False,14,False,False,True,False,28,False,True,False,False,False,False,False,False,False,False,Medio
False,11,True,True,True,True,74,True,True,False,False,False,True,True,False,False,False,Bajo
True,13,False,False,True,True,35,False,False,False,False,True,True,True,True,False,False,Bajo
False,9,True,False,False,True,16,False,False,False,False,False,False,True,True,True,False,Bajo
True,9,False,False,False,False,78,True,True,True,False,False,True,False,True,True,False,Medio
True,17,False,True,False,True,57,False,True,True,False,False,True,True,True,False,False,Bajo
False,10,False,False,False,True,63,False,True,False,True,True,False,False,False,False,False,Alto
False,14,False,True,True,False,7,False,False,False,True,True,True,True,False,False,False,Bajo
False,16,False,False,False,True,7,False,True,False,False,True,False,False,False,False,False,Medio
False,16,True,True,True,False,33,True,False,False,False,False,False,False,True,False,False,Bajo
True,10,False,False,False,False,70,True,False,False,False,False,False,True,True,False,False,Medio
True,15,True,False,True,False,82,False,True,False,False,True,True,True,False,False,False,Bajo
True,13,False,True,False,True,158,False,False,True,True,True,True,True,True,False,True,Medio
False,10,False,False,False,True,47,True,False,False,True,True,False,False,False,False,True,Medio
True,11,True,False,False,False,62,True,False,False,False,True,True,True,True,True,False,Medio
False,15,True,True,False,False,0,True,False,False,False,False,False,True,True,True,False,Bajo
False,16,False,True,True,True,18,True,False,True,False,False,False,False,False,True,False,Bajo
True,11,False,False,True,False,109,True,True,False,False,False,False,True,True,False,False,Medio
True,11,True,False,False,True,365,False,True,False,True,False,True,True,True,False,True,Medio
True,15,False,True,True,False,112,True,True,False,False,False,False,False,True,False,False,Medio
False,15,False,False,False,False,9,True,False,True,True,True,True,True,True,False,False,Medio
True,13,False,False,False,False,6,False,False,False,False,False,True,False,True,False,False,Medio
True,16,True,True,False,False,13,False,False,False,False,False,False,True,False,False,False,Bajo
False,14,True,False,False,False,8,False,False,True,False,False,True,True,False,True,False,Bajo
True,17,False,False,True,True,41,True,True,False,False,False,False,True,False,False,False,Medio
False,14,False,False,False,False,1,True,False,True,False,False,True,False,False,False,False,Medio
True,15,False,True,False,True,18,False,False,True,False,False,False,False,True,True,True,Medio
True,15,True,False,False,True,103,False,True,False,False,True,False,True,True,False,True,Medio
False,18,True,False,False,True,83,True,False,True,True,True,True,True,True,True,False,Bajo
True,11,False,False,False,True,44,True,False,False,False,False,True,False,False,True,False,Bajo
True,16,False,True,False,True,7,True,True,True,False,False,True,False,True,False,False,Bajo
True,19,False,True,False,True,28,False,False,False,True,False,True,False,False,True,False,Medio
False,13,True,True,False,True,171,False,True,True,False,False,True,True,True,False,False,Medio
False,9,True,True,False,True,28,False,True,False,True,True,False,True,False,True,False,Bajo
False,16,True,True,True,True,7,True,False,False,False,False,False,True,False,False,False,Bajo
False,18,True,True,True,False,85,False,False,False,False,False,False,False,True,False,False,Medio
False,12,True,False,False,True,18,False,False,False,False,False,True,False,True,True,False,Bajo
False,18,True,True,False,False,2,True,False,True,False,False,False,True,False,True,False,Bajo
False,16,True,True,True,True,1,True,False,False,False,False,True,True,True,False,False,Bajo
True,14,False,True,True,True,15,True,False,False,False,False,True,True,False,False,False,Bajo
True,17,True,True,True,False,10,True,False,False,False,True,True,True,False,False,True,Medio
True,17,False,True,True,True,37,True,False,False,False,False,True,False,True,True,False,Bajo
True,13,False,True,False,True,30,False,True,False,False,True,False,False,False,False,False,Medio
False,16,False,False,True,True,45,True,False,True,False,False,False,False,False,False,False,Medio
True,7,False,False,False,False,84,False,True,False,False,False,False,False,True,True,False,Alto
True,6,False,False,False,True,72,False,True,True,False,False,False,False,True,False,False,Medio
True,12,False,False,False,False,42,True,True,False,False,True,True,False,True,True,False,Medio
False,11,False,False,False,False,3,False,False,False,False,True,True,False,True,True,False,Bajo
True,17,True,False,False,True,13,True,True,False,True,False,False,False,True,False,False,Medio
False,14,False,True,False,False,16,True,False,True,False,True,True,True,True,True,False,Bajo
True,11,False,True,True,False,72,True,False,False,False,True,True,False,True,False,False,Medio
True,13,False,False,False,False,196,True,False,False,False,False,False,True,True,True,False,Medio
True,18,True,False,False,True,30,True,False,False,False,False,False,False,True,False,False,Bajo
False,21,True,True,True,True,10,False,True,False,False,False,True,True,True,False,False,Bajo
False,13,False,True,False,True,30,True,False,False,False,False,False,False,True,False,True,Bajo
False,10,False,False,True,True,38,False,True,True,True,False,True,False,False,True,False,Medio
False,13,True,True,False,True,14,True,False,True,False,True,True,False,True,True,False,Bajo
True,8,True,True,False,False,2,False,False,False,False,False,False,False,False,True,False,Medio
False,16,False,False,True,False,48,True,False,True,True,True,True,False,True,True,False,Bajo
True,9,False,False,False,False,11,False,False,False,False,True,False,True,True,False,False,Medio
True,5,False,False,False,False,4,False,True,False,False,False,False,True,False,False,False,Alto
